time,Red,Green,Blue,,accuracy,precision,,Red after Sorting,Green after sorting,Blue after sorting,,,Reading (red),Repeated,Accuracy,precision,,Reading (Green),Repeated,,Reading (Blue),Repeated
4279,177,223,177,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
4396,177,230,177,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
4430,177,224,177,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
4462,177,223,176,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
4495,177,222,176,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
4562,177,224,177,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
4612,177,229,176,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
4779,177,229,170,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
5062,177,229,171,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
5128,177,230,171,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
5163,177,230,171,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
5229,177,229,177,,0.988826816,0.976365477,,177,230,176,,,,,,,,,,,,
5296,177,228,170,,0.988826816,0.976365477,,177,230,176,,,,,,,,,,,,
5412,177,229,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
5446,177,231,172,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
5479,177,224,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
5513,177,222,176,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
5662,177,229,171,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
5695,177,230,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
5729,177,223,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
6813,177,229,176,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
6845,177,229,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
6878,177,230,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
6913,177,231,178,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
7062,177,222,176,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
7263,177,231,178,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
7378,177,230,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
7412,177,231,171,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
7480,177,223,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
7512,177,230,178,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
7546,177,230,178,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
7662,177,228,176,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
7695,177,229,176,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
7762,177,223,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
7797,177,229,174,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
7929,177,229,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
7946,177,224,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
7996,177,223,178,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
8028,177,229,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
8145,177,230,171,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
8179,177,229,176,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
8212,177,223,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
8245,177,226,178,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
8280,177,230,178,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
8313,177,229,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
8346,177,228,176,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
8462,177,229,171,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
8780,177,230,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
9545,177,224,178,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
9579,177,223,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
9613,177,229,177,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
9630,177,228,176,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
10812,177,238,183,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
10847,177,237,183,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
11996,177,237,182,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
15730,177,237,183,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
15764,177,238,183,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
27564,177,238,184,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
27915,177,239,183,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
28148,177,237,182,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
28848,177,237,176,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
28964,177,238,183,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
28998,177,238,183,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
29031,177,237,183,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
29064,177,237,183,,0.988826816,0.976365477,,177,230,177,,,,,,,,,,,,
29098,177,238,183,,0.988826816,0.976365477,,177,231,177,,,,,,,,,,,,
29131,177,239,184,,0.988826816,0.976365477,,177,231,177,,,,,,,,,,,,
29832,177,237,177,,0.988826816,0.976365477,,177,231,177,,,,,,,,,,,,
30330,177,238,183,,0.988826816,0.976365477,,177,231,177,,,,,,,,,,,,
35247,177,236,181,,0.988826816,0.976365477,,177,231,177,,,,,,,,,,,,
37432,177,237,182,,0.988826816,0.976365477,,177,231,177,,,,,,,,,,,,
37914,177,238,183,,0.988826816,0.976365477,,177,231,177,,,,,,,,,,,,
37947,177,238,182,,0.988826816,0.976365477,,177,231,177,,,,,,,,,,,,
37981,177,237,182,,0.988826816,0.976365477,,178,231,177,,,,,,,,,,,,
2562,178,231,178,,0.994413408,0.981881666,,178,231,177,,,,,,,,,,,,
2596,178,232,173,,0.994413408,0.981881666,,178,231,177,,,,,,,,,,,,
2812,178,231,178,,0.994413408,0.981881666,,178,231,177,,,,,,,,,,,,
2912,178,230,178,,0.994413408,0.981881666,,178,231,177,,,,,,,,,,,,
2962,178,230,178,,0.994413408,0.981881666,,178,231,177,,,,,,,,,,,,
2995,178,231,171,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
4113,178,230,177,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
4245,178,231,176,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
4595,178,231,177,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
4911,178,225,178,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
4946,178,231,178,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
4979,178,231,178,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
5762,178,230,178,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
5796,178,232,179,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
6312,178,233,179,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
6746,178,225,178,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
6779,178,224,177,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
6996,178,230,177,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
7296,178,231,178,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
7346,178,230,177,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
7445,178,224,177,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
7613,178,231,178,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
7646,178,223,177,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
8046,178,230,177,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
8112,178,230,178,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
8429,178,230,175,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
9879,178,231,173,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
9913,178,225,178,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
14696,178,235,181,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
16313,178,239,184,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
27381,178,238,184,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
27531,178,237,184,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
29515,178,239,184,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
30014,178,238,183,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
30297,178,238,183,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
33065,178,231,178,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
33097,178,231,172,,0.994413408,0.981881666,,178,231,178,,,,,,,,,,,,
33131,178,225,179,,0.994413408,0.981881666,,178,232,178,,,,,,,,,,,,
33547,178,232,179,,0.994413408,0.981881666,,178,232,178,,,,,,,,,,,,
34615,178,232,179,,0.994413408,0.981881666,,179,232,178,,,,,,,,,,,,
2530,179,232,178,,1,0.987397855,,179,232,178,,,,,,,,,,,,
2629,179,232,180,,1,0.987397855,,179,232,178,,,,,,,,,,,,
2646,179,228,180,,1,0.987397855,,179,232,178,,,,,,,,,,,,
2712,179,233,179,,1,0.987397855,,179,232,178,,,,,,,,,,,,
2844,179,232,172,,1,0.987397855,,179,232,178,,,,,,,,,,,,
2878,179,225,178,,1,0.987397855,,179,232,178,,,,,,,,,,,,
5828,179,233,180,,1,0.987397855,,179,232,178,,,,,,,,,,,,
5863,179,226,179,,1,0.987397855,,179,232,178,,,,,,,,,,,,
5895,179,233,180,,1,0.987397855,,179,232,178,,,,,,,,,,,,
6329,179,226,180,,1,0.987397855,,179,232,178,,,,,,,,,,,,
6363,179,234,177,,1,0.987397855,,179,232,178,,,,,,,,,,,,
6612,179,232,173,,1,0.987397855,,179,232,178,,,,,,,,,,,,
6646,179,232,179,,1,0.987397855,,179,232,178,,,,,,,,,,,,
