Time,Reading,,Accuracy,Precision,,,,,,value,repeated,Accuracy,Precision
16711,10.71,,0.999065421,0.997514376,,,,,,,,,
16795,10.71,,0.999065421,0.997514376,,,,,,,,,
16960,10.71,,0.999065421,0.997514376,,,,,,,,,
16994,10.71,,0.999065421,0.997514376,,,,,,,,,
17010,10.71,,0.999065421,0.997514376,,,,,,,,,
17077,10.71,,0.999065421,0.997514376,,,,,,,,,
17161,10.71,,0.999065421,0.997514376,,,,,,,,,
17277,10.71,,0.999065421,0.997514376,,,,,,,,,
17311,10.71,,0.999065421,0.997514376,,,,,,,,,
17428,10.71,,0.999065421,0.997514376,,,,,,,,,
17444,10.71,,0.999065421,0.997514376,,,,,,,,,
17460,10.71,,0.999065421,0.997514376,,,,,,,,,
17543,10.71,,0.999065421,0.997514376,,,,,,,,,
17576,10.71,,0.999065421,0.997514376,,,,,,,,,
17594,10.71,,0.999065421,0.997514376,,,,,,,,,
17695,10.71,,0.999065421,0.997514376,,,,,,,,,
17778,10.71,,0.999065421,0.997514376,,,,,,,,,
17844,10.71,,0.999065421,0.997514376,,,,,,,,,
17861,10.71,,0.999065421,0.997514376,,,,,,,,,
17877,10.71,,0.999065421,0.997514376,,,,,,,,,
17894,10.71,,0.999065421,0.997514376,,,,,,,,,
17994,10.71,,0.999065421,0.997514376,,,,,,,,,
18010,10.71,,0.999065421,0.997514376,,,,,,,,,
18044,10.71,,0.999065421,0.997514376,,,,,,,,,
18144,10.71,,0.999065421,0.997514376,,,,,,,,,
18161,10.71,,0.999065421,0.997514376,,,,,,,,,
18177,10.71,,0.999065421,0.997514376,,,,,,,,,
18193,10.71,,0.999065421,0.997514376,,,,,,,,,
18211,10.71,,0.999065421,0.997514376,,,,,,,,,
18228,10.71,,0.999065421,0.997514376,,,,,,,,,
18311,10.71,,0.999065421,0.997514376,,,,,,,,,
18327,10.71,,0.999065421,0.997514376,,,,,,,,,
18344,10.71,,0.999065421,0.997514376,,,,,,,,,
18360,10.71,,0.999065421,0.997514376,,,,,,,,,
18494,10.71,,0.999065421,0.997514376,,,,,,,,,
18511,10.71,,0.999065421,0.997514376,,,,,,,,,
18611,10.71,,0.999065421,0.997514376,,,,,,,,,
18627,10.71,,0.999065421,0.997514376,,,,,,,,,
18644,10.71,,0.999065421,0.997514376,,,,,,,,,
18661,10.71,,0.999065421,0.997514376,,,,,,,,,
18760,10.71,,0.999065421,0.997514376,,,,,,,,,
18795,10.71,,0.999065421,0.997514376,,,,,,,,,
18845,10.71,,0.999065421,0.997514376,,,,,,,,,
18911,10.71,,0.999065421,0.997514376,,,,,,,,,
18944,10.71,,0.999065421,0.997514376,,,,,,,,,
18994,10.71,,0.999065421,0.997514376,,,,,,,,,
19061,10.71,,0.999065421,0.997514376,,,,,,,,,
19077,10.71,,0.999065421,0.997514376,,,,,,,,,
19127,10.71,,0.999065421,0.997514376,,,,,,,,,
19144,10.71,,0.999065421,0.997514376,,,,,,,,,
19211,10.71,,0.999065421,0.997514376,,,,,,,,,
19227,10.71,,0.999065421,0.997514376,,,,,,,,,
19394,10.71,,0.999065421,0.997514376,,,,,,,,,
19677,10.71,,0.999065421,0.997514376,,,,,,,,,
19710,10.71,,0.999065421,0.997514376,,,,,,,,,
19727,10.71,,0.999065421,0.997514376,,,,,,,,,
19745,10.71,,0.999065421,0.997514376,,,,,,,,,
19827,10.71,,0.999065421,0.997514376,,,,,,,,,
20011,10.71,,0.999065421,0.997514376,,,,,,,,,
20211,10.71,,0.999065421,0.997514376,,,,,,,,,
20462,10.71,,0.999065421,0.997514376,,,,,,,,,
21078,10.71,,0.999065421,0.997514376,,,,,,,,,
21094,10.71,,0.999065421,0.997514376,,,,,,,,,
21195,10.71,,0.999065421,0.997514376,,,,,,,,,
21227,10.71,,0.999065421,0.997514376,,,,,,,,,
21244,10.71,,0.999065421,0.997514376,,,,,,,,,
21261,10.71,,0.999065421,0.997514376,,,,,,,,,
21377,10.71,,0.999065421,0.997514376,,,,,,,,,
21544,10.71,,0.999065421,0.997514376,,,,,,,,,
21827,10.71,,0.999065421,0.997514376,,,,,,,,,
22145,10.71,,0.999065421,0.997514376,,,,,,,,,
22194,10.71,,0.999065421,0.997514376,,,,,,,,,
22744,10.71,,0.999065421,0.997514376,,,,,,,,,
22895,10.71,,0.999065421,0.997514376,,,,,,,,,
22911,10.71,,0.999065421,0.997514376,,,,,,,,,
23028,10.71,,0.999065421,0.997514376,,,,,,,,,
23078,10.71,,0.999065421,0.997514376,,,,,,,,,
23095,10.71,,0.999065421,0.997514376,,,,,,,,,
23244,10.71,,0.999065421,0.997514376,,,,,,,,,
23478,10.71,,0.999065421,0.997514376,,,,,,,,,
23512,10.71,,0.999065421,0.997514376,,,,,,,,,
23528,10.71,,0.999065421,0.997514376,,,,,,,,,
23794,10.71,,0.999065421,0.997514376,,,,,,,,,
23810,10.71,,0.999065421,0.997514376,,,,,,,,,
23995,10.71,,0.999065421,0.997514376,,,,,,,,,
24011,10.71,,0.999065421,0.997514376,,,,,,,,,
24111,10.71,,0.999065421,0.997514376,,,,,,,,,
24145,10.71,,0.999065421,0.997514376,,,,,,,,,
24261,10.71,,0.999065421,0.997514376,,,,,,,,,
24278,10.71,,0.999065421,0.997514376,,,,,,,,,
24295,10.71,,0.999065421,0.997514376,,,,,,,,,
24329,10.71,,0.999065421,0.997514376,,,,,,,,,
24395,10.71,,0.999065421,0.997514376,,,,,,,,,
24427,10.71,,0.999065421,0.997514376,,,,,,,,,
24878,10.71,,0.999065421,0.997514376,,,,,,,,,
24928,10.71,,0.999065421,0.997514376,,,,,,,,,
25062,10.71,,0.999065421,0.997514376,,,,,,,,,
25078,10.71,,0.999065421,0.997514376,,,,,,,,,
25178,10.71,,0.999065421,0.997514376,,,,,,,,,
25228,10.71,,0.999065421,0.997514376,,,,,,,,,
25245,10.71,,0.999065421,0.997514376,,,,,,,,,
25328,10.71,,0.999065421,0.997514376,,,,,,,,,
25345,10.71,,0.999065421,0.997514376,,,,,,,,,
25362,10.71,,0.999065421,0.997514376,,,,,,,,,
25461,10.71,,0.999065421,0.997514376,,,,,,,,,
25477,10.71,,0.999065421,0.997514376,,,,,,,,,
25528,10.71,,0.999065421,0.997514376,,,,,,,,,
25546,10.71,,0.999065421,0.997514376,,,,,,,,,
